r_age,r_height,r_weight,r_reach,r_wins_total,r_losses_total,r_SLpM_total,r_SApM_total,r_sig_str_acc_total,r_str_def_total,r_td_avg,r_td_acc_total,r_td_def_total,r_sub_avg,b_age,b_height,b_weight,b_reach,b_wins_total,b_losses_total,b_SLpM_total,b_SApM_total,b_sig_str_acc_total,b_str_def_total,b_td_avg,b_td_acc_total,b_td_def_total,b_sub_avg,is_title_bout,age_diff,height_diff,reach_diff,wins_total_diff,losses_total_diff,SLpM_total_diff,SApM_total_diff,sig_str_acc_total_diff,str_def_total_diff,td_avg_diff,td_acc_total_diff,td_def_total_diff,sub_avg_diff,winner,weight_class_Catch Weight,weight_class_Featherweight,weight_class_Flyweight,weight_class_Heavyweight,weight_class_Light Heavyweight,weight_class_Lightweight,weight_class_Middleweight,weight_class_TUF Nations Canada vs. Australia Middleweight Tournament Title,weight_class_TUF Nations Canada vs. Australia Welterweight Tournament Title,weight_class_UFC Bantamweight Title,weight_class_UFC Featherweight Title,weight_class_UFC Flyweight Title,weight_class_UFC Heavyweight Title,weight_class_UFC Interim Bantamweight Title,weight_class_UFC Interim Featherweight Title,weight_class_UFC Interim Flyweight Title,weight_class_UFC Interim Heavyweight Title,weight_class_UFC Interim Light Heavyweight Title,weight_class_UFC Interim Lightweight Title,weight_class_UFC Interim Middleweight Title,weight_class_UFC Interim Welterweight Title,weight_class_UFC Light Heavyweight Title,weight_class_UFC Lightweight Title,weight_class_UFC Middleweight Title,weight_class_UFC Welterweight Title,weight_class_Ultimate Fighter 1 Light Heavyweight Tournament Title,weight_class_Ultimate Fighter 1 Middleweight Tournament Title,weight_class_Ultimate Fighter 10 Heavyweight Tournament Title,weight_class_Ultimate Fighter 11 Middleweight Tournament Title,weight_class_Ultimate Fighter 12 Lightweight Tournament Title,weight_class_Ultimate Fighter 13 Welterweight Tournament Title,weight_class_Ultimate Fighter 14 Bantamweight Tournament Title,weight_class_Ultimate Fighter 14 Featherweight Tournament Title,weight_class_Ultimate Fighter 15 Lightweight Tournament Title,weight_class_Ultimate Fighter 16 Welterweight Tournament Title,weight_class_Ultimate Fighter 17 Middleweight Tournament Title,weight_class_Ultimate Fighter 19 Middleweight Tournament Title,weight_class_Ultimate Fighter 2 Welterweight Tournament Title,weight_class_Ultimate Fighter 22 Lightweight Tournament Title,weight_class_Ultimate Fighter 23 Light Heavyweight Tournament Title,weight_class_Ultimate Fighter 25 Welterweight Tournament Title,weight_class_Ultimate Fighter 27 Lightweight Tournament Title,weight_class_Ultimate Fighter 28 Heavyweight Tournament Title,weight_class_Ultimate Fighter 3 Middleweight Tournament Title,weight_class_Ultimate Fighter 4 Middleweight Tournament Title,weight_class_Ultimate Fighter 4 Welterweight Tournament Title,weight_class_Ultimate Fighter 5 Lightweight Tournament Title,weight_class_Ultimate Fighter 6 Welterweight Tournament Title,weight_class_Ultimate Fighter 7 Middleweight Tournament Title,weight_class_Ultimate Fighter 8 Light Heavyweight Tournament Title,weight_class_Ultimate Fighter 8 Lightweight Tournament Title,weight_class_Ultimate Fighter 9 Lightweight Tournament Title,weight_class_Ultimate Fighter 9 Welterweight Tournament Title,weight_class_Ultimate Fighter Australia vs. UK Welterweight Tournament Title,weight_class_Ultimate Fighter Brazil 1 Featherweight Tournament Title,weight_class_Ultimate Fighter Brazil 1 Middleweight Tournament Title,weight_class_Ultimate Fighter Brazil 2 Welterweight Tournament Title,weight_class_Ultimate Fighter Brazil 3 Heavyweight Tournament Title,weight_class_Ultimate Fighter Brazil 3 Middleweight Tournament Title,weight_class_Ultimate Fighter Latin America 3 Lightweight Tournament Title,weight_class_Ultimate Fighter Latin America Bantamweight Tournament Title,weight_class_Welterweight,r_stance_Orthodox,r_stance_Southpaw,r_stance_Switch,b_stance_Orthodox,b_stance_Southpaw,b_stance_Switch
34.0,190.5,106.59,200.66,10,1,2.87,1.7,0.52,0.6,4.75,0.5,1.0,0.2,30.0,182.88,119.75,187.96,7,4,4.09,5.02,0.54,0.47,0.0,0.0,0.5,0.0,0,4.0,7.6200000000000045,12.699999999999989,3,-3,-1.2199999999999998,-3.3199999999999994,-0.02,0.13,4.75,0.5,0.5,0.2,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
26.0,187.96,83.91,190.5,13,4,3.6,4.09,0.52,0.45,2.24,0.38,0.63,0.6,32.0,185.42,83.91,193.04,7,3,4.29,5.31,0.46,0.46,1.67,0.75,0.65,0.3,0,-6.0,2.5400000000000205,-2.539999999999992,6,1,-0.69,-1.2199999999999998,0.06,-0.01,0.5700000000000003,-0.37,-0.02,0.3,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
25.0,177.8,61.23,177.8,8,0,8.05,3.58,0.54,0.51,0.0,0.0,0.9,0.5,23.0,172.72,61.23,170.18,9,2,5.32,4.18,0.46,0.51,0.91,0.28,0.47,0.7,0,2.0,5.0800000000000125,7.6200000000000045,-1,-2,2.7300000000000004,-0.5999999999999996,0.08,0.0,-0.91,-0.28,0.43,-0.1999999999999999,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
35.0,177.8,65.77,177.8,18,6,7.36,5.57,0.56,0.43,1.24,0.23,0.61,1.1,27.0,177.8,65.77,182.88,14,5,2.88,1.73,0.49,0.65,2.28,0.34,0.6,1.3,0,8.0,0.0,-5.079999999999984,4,1,4.48,3.84,0.07,-0.22,-1.0399999999999998,-0.11,0.01,-0.1999999999999999,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
27.0,185.42,65.77,193.04,16,5,6.48,5.25,0.42,0.53,0.0,0.0,1.0,0.8,29.0,177.8,65.77,175.26,8,2,6.03,8.2,0.57,0.52,0.0,0.0,0.66,0.0,0,-2.0,7.619999999999976,17.78,8,3,0.4500000000000002,-2.9499999999999993,-0.1499999999999999,0.01,0.0,0.0,0.3399999999999999,0.8,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
37.0,180.34,70.31,177.8,21,8,4.37,4.07,0.43,0.48,0.71,0.36,0.46,0.9,34.0,180.34,70.31,182.88,17,6,3.38,3.59,0.47,0.58,1.64,0.23,1.0,0.6,0,3.0,0.0,-5.079999999999984,4,2,0.9900000000000002,0.4800000000000004,-0.0399999999999999,-0.0999999999999999,-0.93,0.1299999999999999,-0.54,0.3,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
28.0,175.26,65.77,182.88,16,6,3.21,3.74,0.37,0.57,3.02,0.6,0.72,0.7,34.0,185.42,65.77,187.96,29,12,6.14,6.29,0.48,0.47,1.63,0.46,0.58,0.8,0,-6.0,-10.159999999999997,-5.0800000000000125,-13,-6,-2.9299999999999997,-2.55,-0.1099999999999999,0.0999999999999999,1.39,0.1399999999999999,0.14,-0.1,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
29.0,170.18,61.23,167.64,14,2,3.28,2.55,0.47,0.68,1.15,0.22,0.85,0.0,36.0,177.8,61.23,180.34,20,10,4.0,4.08,0.43,0.57,1.28,0.28,0.68,0.2,0,-7.0,-7.6200000000000045,-12.700000000000015,-6,-8,-0.7200000000000002,-1.5300000000000002,0.0399999999999999,0.1100000000000001,-0.1300000000000001,-0.06,0.1699999999999999,-0.2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
29.0,180.34,65.77,185.42,14,5,3.44,3.36,0.46,0.63,0.0,0.0,0.28,0.3,30.0,180.34,65.77,185.42,9,2,7.15,7.36,0.4,0.6,0.28,1.0,0.84,0.0,0,-1.0,0.0,0.0,5,3,-3.71,-4.0,0.06,0.03,-0.28,-1.0,-0.5599999999999999,0.3,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
20.0,170.18,56.7,175.26,8,1,7.17,4.33,0.52,0.47,9.69,0.71,0.5,0.0,25.0,170.18,56.7,170.18,8,0,3.98,2.67,0.6,0.6,1.31,0.66,0.61,1.3,0,-5.0,0.0,5.079999999999984,0,1,3.19,1.66,-0.0799999999999999,-0.13,8.379999999999999,0.0499999999999999,-0.1099999999999999,-1.3,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
